assets\text_templates\img_0.png	Bulbasaur
assets\text_templates\img_95.png	Drowzee
assets\text_templates\img_96.png	Hypno
assets\text_templates\img_97.png	Krabby
assets\text_templates\img_98.png	Kingler
assets\text_templates\img_99.png	Voltorb
assets\text_templates\img_100.png	Electrode
assets\text_templates\img_101.png	Exeggcute
assets\text_templates\img_102.png	Exeggutor
assets\text_templates\img_103.png	Cubone
assets\text_templates\img_104.png	Marowak
assets\text_templates\img_105.png	Hitmonlee
assets\text_templates\img_106.png	Hitmonchan
assets\text_templates\img_107.png	Lickitung
assets\text_templates\img_108.png	Koffing
assets\text_templates\img_109.png	Weezing
assets\text_templates\img_110.png	Rhyhorn
assets\text_templates\img_111.png	Rhydon
assets\text_templates\img_112.png	Chansey
assets\text_templates\img_113.png	Tangela
assets\text_templates\img_114.png	Kangaskhan
assets\text_templates\img_115.png	Horsea
assets\text_templates\img_116.png	Seadra
assets\text_templates\img_117.png	Goldeen
assets\text_templates\img_118.png	Seaking
assets\text_templates\img_119.png	Staryu
assets\text_templates\img_120.png	Starmie
assets\text_templates\img_121.png	Mr. Mime
assets\text_templates\img_122.png	Scyther
assets\text_templates\img_123.png	Jynx
assets\text_templates\img_124.png	Electabuzz
assets\text_templates\img_125.png	Magmar
assets\text_templates\img_126.png	Pinsir
assets\text_templates\img_127.png	Tauros
assets\text_templates\img_128.png	Magikarp
assets\text_templates\img_129.png	Gyarados
assets\text_templates\img_130.png	Lapras
assets\text_templates\img_131.png	Ditto
assets\text_templates\img_132.png	Eevee
assets\text_templates\img_133.png	Vaporeon
assets\text_templates\img_134.png	Jolteon
assets\text_templates\img_135.png	Flareon
assets\text_templates\img_136.png	Porygon
assets\text_templates\img_137.png	Omanyte
assets\text_templates\img_138.png	Omastar
assets\text_templates\img_139.png	Kabuto
assets\text_templates\img_140.png	Kabutops
assets\text_templates\img_141.png	Aerodactyl
assets\text_templates\img_142.png	Snorlax
assets\text_templates\img_143.png	Articuno
assets\text_templates\img_144.png	Zapdos
assets\text_templates\img_145.png	Moltres
assets\text_templates\img_146.png	Dratini
assets\text_templates\img_147.png	Dragonair
assets\text_templates\img_148.png	Dragonite
assets\text_templates\img_149.png	Mewtwo
assets\text_templates\img_150.png	Mew
